objectid,code,name,welshname,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
30,E06000032,Luton, ,508606,222559,-0.42319,51.891022,44068117.79926678,30772.555939753896
31,E06000033,Southend-on-Sea, ,587777,186837,0.706923,51.549171,44692735.33882765,36478.58826633958
32,E06000034,Thurrock, ,562123,181590,0.334861,51.509979,161110777.9215603,71948.03975588987
33,E06000035,Medway, ,578207,175198,0.563174,51.44772,190967950.32151532,115739.73000611599
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.411301,108233672.33558826,57917.01913707451
35,E06000037,West Berkshire, ,450575,172095,-1.27364,51.445591,701217777.186149,143114.43066593542
36,E06000038,Reading, ,470226,173154,-0.99071,51.453018,41326311.02307669,30503.94756667065
37,E06000039,Slough, ,498920,179246,-0.57617,51.503502,32201925.662017465,37004.536781352974
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.480339,197413883.65486637,102626.06027822744
39,E06000041,Wokingham, ,476624,169902,-0.89935,51.422958,179124859.58828133,75874.00166771158
