DateReport,geoid,RegionName,Country,pInf,AB
2022-01-28,MEX484_20_20236,"San Marcial Ozolotepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20240,"San Martín Itunyoso, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20241,"San Martín Lachilá, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20242,"San Martín Peras, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20244,"San Martín Toxpalan, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20245,"San Martín Zacatepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20246,"San Mateo Cajonos, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20250,"San Mateo Etlatongo, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20251,"San Mateo Nejápam, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20252,"San Mateo Peñasco, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20253,"San Mateo Piñas, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20255,"San Mateo Sindihui, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20256,"San Mateo Tlapiltepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20257,"San Melchor Betaza, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20258,"San Miguel Achiutla, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20259,"San Miguel Ahuehuetitlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20260,"San Miguel Aloápam, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20261,"San Miguel Amatitlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20262,"San Miguel Amatlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20263,"San Miguel Coatlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20264,"San Miguel Chicahua, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20265,"San Miguel Chimalapa, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20268,"San Miguel Ejutla, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20269,"San Miguel el Grande, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20270,"San Miguel Huautla, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20271,"San Miguel Mixtepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20272,"San Miguel Panixtlahuaca, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20274,"San Miguel Piedras, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20275,"San Miguel Quetzaltepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20276,"San Miguel Santa Flor, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20278,"San Miguel Soyaltepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20281,"San Miguel Tecomatlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20282,"San Miguel Tenango, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20283,"San Miguel Tequixtepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20284,"San Miguel Tilquiápam, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20285,"San Miguel Tlacamama, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20287,"San Miguel Tulancingo, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20288,"San Miguel Yotao, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20290,"San Nicolás Hidalgo, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20291,"San Pablo Coatlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20292,"San Pablo Cuatro Venados, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20297,"San Pablo Tijaltepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20299,"San Pablo Yaganiza, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20300,"San Pedro Amuzgos, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20302,"San Pedro Atoyac, Oaxaca, Mexico",Mexico,NA,3
